Lower Intercept,Likelihood,n.lines,normalized.sum.likelihood
0,9778.35404974034,200,48.8917702487017
1e+07,9898.23220701509,199,49.7398603367593
2e+07,10025.0334435866,198,50.6314820383162
3e+07,10153.9850712635,197,51.5430714277334
4e+07,10286.8127709105,196,52.4837386270943
5e+07,10431.7899630765,195,53.4963587850077
6e+07,10597.4769978058,194,54.6261700917823
7e+07,10786.2106083956,193,55.8871015979045
8e+07,10993.9885054102,192,57.2603567990114
9e+07,11215.1287845601,191,58.7179517516237
1e+08,11445.9941089887,190,60.2420742578352
1.1e+08,11685.565052162,189,61.8283865193758
1.2e+08,11933.9813294653,188,63.4786240929005
1.3e+08,12190.4429430569,187,65.1895344548498
1.4e+08,12451.6814218446,186,66.9445237733582
1.5e+08,12712.2850280522,185,68.7150542056875
1.6e+08,12966.5248297368,184,70.4702436398739
1.7e+08,13206.4426036968,183,72.1663530256657
1.8e+08,13410.2800364939,182,73.6828573433733
1.9e+08,13540.3854744544,181,74.8087595273726
2e+08,13586.638347386,180,75.4813241521445
2.1e+08,13605.8560250354,179,76.0103688549466
2.2e+08,13675.9198492763,178,76.8310103891926
2.3e+08,13840.889918608,177,78.1971181842259
2.4e+08,14118.0418429729,176,80.2161468350731
2.5e+08,14510.6793488571,175,82.918167707755
2.6e+08,15007.2138672125,174,86.2483555586923
2.7e+08,15584.8457753583,173,90.0858137303948
2.8e+08,16216.1539121964,172,94.2799646057928
2.9e+08,16876.97045077,171,98.6957336302341
3e+08,17554.8704022141,170,103.263943542436
3.1e+08,18245.2637269005,169,107.960140395861
3.2e+08,18933.8464770059,168,112.701467125035
3.3e+08,19621.0436101508,167,117.491279102699
3.4e+08,20353.4372479295,166,122.611067758612
3.5e+08,20992.281963291,165,127.225951292673
3.6e+08,21131.6615676807,164,128.851594924883
3.7e+08,20813.9871716529,163,127.693172832226
3.8e+08,20453.3419578464,162,126.255197270657
3.9e+08,19968.8640899288,161,124.030211738688
4e+08,18829.8839774784,160,117.68677485924
4.1e+08,16804.858228774,159,105.69093225644
4.2e+08,14808.9842612839,158,93.7277484891386
4.3e+08,13540.8056938705,157,86.2471700246527
4.4e+08,12508.9589695758,156,80.1856344203575
4.5e+08,10959.8280949654,155,70.7085683546153
4.6e+08,8964.27552289109,154,58.2095813174746
4.7e+08,7150.82215578732,153,46.7373997110283
4.8e+08,5755.64807021189,152,37.8661057250782
4.9e+08,4702.00000800871,151,31.1390729007199
5e+08,3917.6833263125,150,26.1178888420833
5.1e+08,3336.76008167739,149,22.3943629642778
5.2e+08,2897.92602052733,148,19.5805812197793
5.3e+08,2562.6264402712,147,17.432832927015
5.4e+08,2306.9569430935,146,15.8010749526952
5.5e+08,2112.22362132421,145,14.5670594574083
5.6e+08,1962.91835306145,144,13.6313774518156
5.7e+08,1847.29789163768,143,12.9181670743893
5.8e+08,1757.35052892345,142,12.3757079501652
5.9e+08,1687.92000276297,141,11.9710638493828
6e+08,1635.64518972692,140,11.6831799266208
6.1e+08,1598.12106270609,139,11.4972738324179
6.2e+08,1573.34119044708,138,11.4010231191817
6.3e+08,1559.33783580284,137,11.3820279985609
6.4e+08,1553.93429463382,136,11.4259874605428
6.5e+08,1554.58261803314,135,11.5154268002455
6.6e+08,1558.33259584297,134,11.6293477301714
6.7e+08,1562.0199738593,133,11.7445110816489
6.8e+08,1562.71644146681,132,11.8387609202031
6.9e+08,1558.33417834335,131,11.8956807507126
7e+08,1548.11159544208,130,11.9085507341698
7.1e+08,1532.68557896904,129,11.8812835578996
7.2e+08,1513.66125288211,128,11.8254785381415
7.3e+08,1492.90059082887,127,11.7551227624321
7.4e+08,1471.91709550035,126,11.6818817103202
7.5e+08,1451.64758727344,125,11.6131806981875
7.6e+08,1432.58688840232,124,11.5531200677607
7.7e+08,1415.06008539943,123,11.5045535398328
7.8e+08,1399.40699388161,122,11.4705491301771
7.9e+08,1386.0005511439,121,11.4545500094537
8e+08,1375.16018663606,120,11.4596682219671
8.1e+08,1367.06095666463,119,11.4879071988625
8.2e+08,1361.69636461295,118,11.5397997001098
8.3e+08,1358.8935834745,117,11.6144750724316
8.4e+08,1358.34971133834,116,11.7099113046408
8.5e+08,1359.66071458513,115,11.8231366485664
8.6e+08,1362.33245850213,114,11.9502847237029
8.7e+08,1365.7786682418,113,12.0865368870956
8.8e+08,1369.31760419035,112,12.2260500374139
8.9e+08,1372.17946946712,111,12.3619772024065
9e+08,1373.53380527491,110,12.4866709570446
9.1e+08,1372.54237713954,109,12.5921319003627
9.2e+08,1368.43826917909,108,12.6707247146212
9.3e+08,1360.62540216042,107,12.7161252538357
9.4e+08,1348.78465179146,106,12.7243835074666
9.5e+08,1332.96488604964,105,12.6949036766632
9.6e+08,1313.6325330398,104,12.6310820484597
9.7e+08,1291.65496837804,103,12.5403394988159
9.8e+08,1268.20327264957,102,12.433365418133
9.9e+08,1244.57857142438,101,12.3225601131126
1e+09,1221.98958352342,100,12.2198958352342
1.01e+09,1201.32989820764,99,12.1346454364408
1.02e+09,1183.01269631766,98,12.0715581256904
1.03e+09,1166.91094766696,97,12.0300097697625
1.04e+09,1152.42216380404,96,12.0043975396254
1.05e+09,1138.63751158022,95,11.9856580166339
1.06e+09,1124.56125903568,94,11.9634176493157
1.07e+09,1109.31317213148,93,11.9280986250697
1.08e+09,1092.25948645541,92,11.8723857223414
1.09e+09,1073.05045293808,91,11.7917632190998
1.1e+09,1051.5782683981,90,11.6842029822011
1.11e+09,1027.89268913026,89,11.5493560576434
1.12e+09,1002.11544038631,88,11.3876754589354
1.13e+09,974.382023439994,87,11.1997933728735
1.14e+09,944.820541679254,86,10.9862853683634
1.15e+09,913.561281220615,85,10.7477797790661
1.16e+09,880.762630857626,84,10.4852694149717
1.17e+09,846.637978389198,83,10.2004575709542
1.18e+09,811.471563136475,82,9.89599467239603
1.19e+09,775.616429328603,81,9.57551147319263
1.2e+09,739.473439588093,80,9.24341799485117
1.21e+09,703.45603489567,79,8.90450677083126
1.22e+09,667.949830792084,78,8.56345936912929
1.23e+09,633.277673987874,77,8.2243853764659
1.24e+09,599.678674990298,76,7.89050888145128
1.25e+09,567.304795339506,75,7.56406393786008
1.26e+09,536.232931419126,74,7.24639096512333
1.27e+09,506.486374983438,73,6.93816952032107
1.28e+09,478.058293879445,72,6.6396985261034
1.29e+09,450.931275477919,71,6.35114472504111
1.3e+09,425.089809470494,70,6.0727115638642
1.31e+09,400.525455675785,69,5.80471674892442
1.32e+09,377.236394255207,68,5.54759403316481
1.33e+09,355.22380449101,67,5.30184782822403
1.34e+09,334.487296134366,66,5.06798933536919
1.35e+09,315.020880206281,65,4.84647508009663
1.36e+09,296.810144665798,64,4.63765851040309
1.37e+09,279.830673610614,63,4.441756723978
1.38e+09,264.047425586068,62,4.25882944493659
1.39e+09,249.414744642978,61,4.08876630562258
1.4e+09,235.876816827418,60,3.93128028045697
1.41e+09,223.368576009236,59,3.78590806795315
1.42e+09,211.817189531356,58,3.65202050916131
1.43e+09,201.144243840446,57,3.52884638316572
1.44e+09,191.268596605484,56,3.41551065366935
1.45e+09,182.109626306292,55,3.31108411465985
1.46e+09,173.590399108934,54,3.21463702053581
1.47e+09,165.640192280156,53,3.1252866467954
1.48e+09,158.195920087248,52,3.04222923244708
1.49e+09,151.202278860757,51,2.96475056589719
1.5e+09,144.610766536,50,2.89221533071999
1.51e+09,138.37801277132,49,2.82404107696571
1.52e+09,132.463980935435,48,2.75966626948824
1.53e+09,126.830544545623,47,2.69852222437495
1.54e+09,121.440743795716,46,2.6400161694721
1.55e+09,116.258781778963,45,2.58352848397694
1.56e+09,111.250612810921,44,2.52842301843002
1.57e+09,106.384859562634,43,2.47406650145661
1.58e+09,101.633779159644,42,2.41985188475344
1.59e+09,96.9740553413265,41,2.36522086198357
1.6e+09,92.3872859225351,40,2.30968214806338
1.61e+09,87.8601283686559,39,2.25282380432451
1.62e+09,83.3841399993799,38,2.19431947366789
1.63e+09,78.9553943867875,37,2.13392957802128
1.64e+09,74.5739717945137,36,2.07149921651427
1.65e+09,70.2434135782681,35,2.0069546736648
1.66e+09,65.9702050552916,34,1.94030014868505
1.67e+09,61.7633162394139,33,1.8716156436186
1.68e+09,57.6337933998087,32,1.80105604374402
1.69e+09,53.5943649444014,31,1.72885048207746
1.7e+09,49.6590097409115,30,1.65530032469705
1.71e+09,45.8424390244656,29,1.58077375946433
1.72e+09,42.1594647506007,28,1.50569516966431
1.73e+09,38.6242631470033,27,1.43052826470382
1.74e+09,35.2495835945898,26,1.35575321517653
1.75e+09,32.0459886992504,25,1.28183954797002
1.76e+09,29.0212306882437,24,1.20921794534349
1.77e+09,26.1798646273436,23,1.13825498379755
1.78e+09,23.5231687875604,22,1.06923494488911
1.79e+09,21.0493920553005,21,1.00235200263336
1.8e+09,18.7542888189571,20,0.937714440947857
1.81e+09,16.6318476845446,19,0.875360404449716
1.82e+09,14.6750852495965,18,0.81528251386647
1.83e+09,12.8767687983242,17,0.757456988136718
1.84e+09,11.2299536308154,16,0.701872101925963
1.85e+09,9.72826563624843,15,0.648551042416562
1.86e+09,8.36591594348718,14,0.597565424534799
1.87e+09,7.13748839254225,13,0.549037568657096
1.88e+09,6.03758048738716,12,0.503131707282264
1.89e+09,5.06039750739552,11,0.460036137035956
1.9e+09,4.19939644831382,10,0.419939644831382
1.91e+09,3.44705532768961,9,0.383006147521068
1.92e+09,2.7948111211066,8,0.349351390138325
1.93e+09,2.23317409600584,7,0.319024870857977
1.94e+09,1.75199457341747,6,0.291999095569578
1.95e+09,1.34083514902431,5,0.268167029804862
1.96e+09,0.989389666324643,4,0.247347416581161
1.97e+09,0.687889903267928,3,0.229296634422643
1.98e+09,0.427450192343185,2,0.213725096171593
1.99e+09,0.200315889492369,1,0.200315889492369
