Lower Intercept,Likelihood
0,144.875457076389
1e+07,145.04297389886
2e+07,144.467710434176
3e+07,144.461313654714
4e+07,143.999658910163
5e+07,143.833967923873
6e+07,143.34399857078
7e+07,143.174586415317
8e+07,142.497338928284
9e+07,142.410667801802
1e+08,141.912925154063
1.1e+08,141.396079965167
1.2e+08,141.10971326783
1.3e+08,140.627923603268
1.4e+08,140.041089912293
1.5e+08,139.439251639559
1.6e+08,139.001886527863
1.7e+08,138.498631442271
1.8e+08,137.952573161752
1.9e+08,137.371138253066
2e+08,136.874865509782
2.1e+08,136.42958878096
2.2e+08,135.939610500094
2.3e+08,135.48609596571
2.4e+08,135.231252894848
2.5e+08,135.162912270838
2.6e+08,135.468201472698
2.7e+08,136.358492232351
2.8e+08,137.899816299173
2.9e+08,140.108164505334
3e+08,143.03332821341
3.1e+08,146.510762938027
3.2e+08,150.171912774303
3.3e+08,154.359691469846
3.4e+08,159.635483818948
3.5e+08,162.764874139262
3.6e+08,162.606091459626
3.7e+08,158.989033638366
3.8e+08,163.177663259972
3.9e+08,165.27806566298
4e+08,166.784465327409
4.1e+08,145.375826344616
4.2e+08,117.293542066641
4.3e+08,106.673434284099
4.4e+08,104.438708445591
4.5e+08,92.3026488958492
4.6e+08,70.1403291824229
4.7e+08,55.6493808072148
4.8e+08,53.8473286784689
4.9e+08,51.7520726864307
5e+08,49.4065869197998
5.1e+08,46.8540307616319
5.2e+08,44.1329627191727
5.3e+08,41.272842794481
5.4e+08,38.2916946644341
5.5e+08,35.1977262951209
5.6e+08,31.995662406992
5.7e+08,28.696729555546
5.8e+08,25.329369671681
5.9e+08,21.9467112195223
6e+08,19.0077266020728
6.1e+08,19.0928856162272
6.2e+08,19.1186022000533
6.3e+08,18.9953068088919
6.4e+08,18.8135295692283
6.5e+08,18.5116498687463
6.6e+08,18.1876756374539
6.7e+08,17.8155712340644
6.8e+08,17.4477763700245
6.9e+08,17.1227404579793
7e+08,16.8318629952234
7.1e+08,16.5803201680767
7.2e+08,16.3679801459516
7.3e+08,16.209293292602
7.4e+08,16.0749108757653
7.5e+08,15.9628295115506
7.6e+08,15.8880132256409
7.7e+08,15.8547025896045
7.8e+08,15.8517335389149
7.9e+08,15.9007821860707
8e+08,15.9922494789523
8.1e+08,16.1271851688593
8.2e+08,16.2975173425409
8.3e+08,16.5078215575598
8.4e+08,16.7362777312776
8.5e+08,16.9775267389484
8.6e+08,17.2244904360435
8.7e+08,17.468628628926
8.8e+08,17.7000860442327
8.9e+08,17.9078487402849
9e+08,18.0800665226019
9.1e+08,18.2046777502993
9.2e+08,18.2876848564956
9.3e+08,18.3085515516818
9.4e+08,18.2697300499211
9.5e+08,18.1655157453098
9.6e+08,18.0050515276267
9.7e+08,17.7887332114506
9.8e+08,17.5440449115427
9.9e+08,17.2776303910784
1e+09,17.0273070341396
1.01e+09,16.7978471350174
1.02e+09,16.6098211655486
1.03e+09,16.4571550542926
1.04e+09,16.322755420066
1.05e+09,16.1814451717141
1.06e+09,16.004341386989
1.07e+09,15.7688090407918
1.08e+09,15.4546380649969
1.09e+09,15.0017184129013
1.1e+09,14.420377208477
1.11e+09,13.742379766366
1.12e+09,13.0018694773908
1.13e+09,12.2291946331768
1.14e+09,11.4478644347545
1.15e+09,11.0162103973948
1.16e+09,10.8392426472584
1.17e+09,10.8260930710503
1.18e+09,10.8153094079054
1.19e+09,10.8058766246605
1.2e+09,10.7999020939179
1.21e+09,10.7946202238161
1.22e+09,10.7916868369533
1.23e+09,10.7886376108835
1.24e+09,10.7507103142279
1.25e+09,10.6662492295298
1.26e+09,10.533369929134
1.27e+09,10.3520691219047
1.28e+09,10.1242945962391
1.29e+09,9.85382016748533
1.3e+09,9.54592977853533
1.31e+09,9.20695295325427
1.32e+09,8.84372775214046
1.33e+09,8.4630870569541
1.34e+09,8.07146144643763
1.35e+09,7.67466438552143
1.36e+09,7.27787730751361
1.37e+09,6.88579485248663
1.38e+09,6.50284035873401
1.39e+09,6.13333580763168
1.4e+09,5.7815212814771
1.41e+09,5.45136887366595
1.42e+09,5.14621320764727
1.43e+09,4.86830038089236
1.44e+09,4.61840818032022
1.45e+09,4.39568796059762
1.46e+09,4.19781693605495
1.47e+09,4.02144850084752
1.48e+09,3.86284674650501
1.49e+09,3.71853114751415
1.5e+09,3.58576229798756
1.51e+09,3.46276415006555
1.52e+09,3.34867148560874
1.53e+09,3.24327377806532
1.54e+09,3.1466694960842
1.55e+09,3.05894152036874
1.56e+09,2.97992788852903
1.57e+09,2.90911458510737
1.58e+09,2.84563745652751
1.59e+09,2.78835783566401
1.6e+09,2.73597102273981
1.61e+09,2.68711307488946
1.62e+09,2.64044321500277
1.63e+09,2.59469197530698
1.64e+09,2.54867637391766
1.65e+09,2.50129181189924
1.66e+09,2.45149541728382
1.67e+09,2.39829688941802
1.68e+09,2.34077035901805
1.69e+09,2.27809469624844
1.7e+09,2.209621116
1.71e+09,2.13495765126415
1.72e+09,2.05405238348252
1.73e+09,1.96725347650102
1.74e+09,1.87532560604212
1.75e+09,1.77940959893106
1.76e+09,1.68092374701893
1.77e+09,1.58141869355278
1.78e+09,1.48240955885736
1.79e+09,1.38521577007849
1.8e+09,1.29083873835953
1.81e+09,1.19989985153522
1.82e+09,1.11264808595256
1.83e+09,1.02903134282962
1.84e+09,0.948812367661912
1.85e+09,0.871702089962804
1.86e+09,0.797482031452629
1.87e+09,0.726092674097018
1.88e+09,0.657674309454844
1.89e+09,0.592558053612122
1.9e+09,0.531214685057767
1.91e+09,0.474175847234421
1.92e+09,0.421945148236465
1.93e+09,0.374915967928936
1.94e+09,0.333309195598422
1.95e+09,0.297138836439862
1.96e+09,0.266207653035764
1.97e+09,0.240129812584002
1.98e+09,0.218373682391691
1.99e+09,0.200315889492369
